video_id,segment,left_eye_laplacian_mean_avg,left_eye_laplacian_mean_std,left_eye_laplacian_mean_max,left_eye_laplacian_mean_min,left_eye_laplacian_var_avg,left_eye_laplacian_var_std,left_eye_laplacian_var_max,left_eye_laplacian_var_min,left_eye_light_intensity_mean_avg,left_eye_light_intensity_mean_std,left_eye_light_intensity_mean_max,left_eye_light_intensity_mean_min,left_eye_light_intensity_change_avg,left_eye_light_intensity_change_std,left_eye_light_intensity_change_max,left_eye_light_intensity_change_min,left_eye_area_avg,left_eye_area_std,left_eye_area_max,left_eye_area_min,right_eye_laplacian_mean_avg,right_eye_laplacian_mean_std,right_eye_laplacian_mean_max,right_eye_laplacian_mean_min,right_eye_laplacian_var_avg,right_eye_laplacian_var_std,right_eye_laplacian_var_max,right_eye_laplacian_var_min,right_eye_light_intensity_mean_avg,right_eye_light_intensity_mean_std,right_eye_light_intensity_mean_max,right_eye_light_intensity_mean_min,right_eye_light_intensity_change_avg,right_eye_light_intensity_change_std,right_eye_light_intensity_change_max,right_eye_light_intensity_change_min,right_eye_area_avg,right_eye_area_std,right_eye_area_max,right_eye_area_min,nose_laplacian_mean_avg,nose_laplacian_mean_std,nose_laplacian_mean_max,nose_laplacian_mean_min,nose_laplacian_var_avg,nose_laplacian_var_std,nose_laplacian_var_max,nose_laplacian_var_min,nose_light_intensity_mean_avg,nose_light_intensity_mean_std,nose_light_intensity_mean_max,nose_light_intensity_mean_min,nose_light_intensity_change_avg,nose_light_intensity_change_std,nose_light_intensity_change_max,nose_light_intensity_change_min,nose_area_avg,nose_area_std,nose_area_max,nose_area_min,mouth_laplacian_mean_avg,mouth_laplacian_mean_std,mouth_laplacian_mean_max,mouth_laplacian_mean_min,mouth_laplacian_var_avg,mouth_laplacian_var_std,mouth_laplacian_var_max,mouth_laplacian_var_min,mouth_light_intensity_mean_avg,mouth_light_intensity_mean_std,mouth_light_intensity_mean_max,mouth_light_intensity_mean_min,mouth_light_intensity_change_avg,mouth_light_intensity_change_std,mouth_light_intensity_change_max,mouth_light_intensity_change_min,mouth_area_avg,mouth_area_std,mouth_area_max,mouth_area_min,jawline_laplacian_mean_avg,jawline_laplacian_mean_std,jawline_laplacian_mean_max,jawline_laplacian_mean_min,jawline_laplacian_var_avg,jawline_laplacian_var_std,jawline_laplacian_var_max,jawline_laplacian_var_min,jawline_light_intensity_mean_avg,jawline_light_intensity_mean_std,jawline_light_intensity_mean_max,jawline_light_intensity_mean_min,jawline_light_intensity_change_avg,jawline_light_intensity_change_std,jawline_light_intensity_change_max,jawline_light_intensity_change_min,jawline_area_avg,jawline_area_std,jawline_area_max,jawline_area_min,full_face_laplacian_mean_avg,full_face_laplacian_mean_std,full_face_laplacian_mean_max,full_face_laplacian_mean_min,full_face_laplacian_var_avg,full_face_laplacian_var_std,full_face_laplacian_var_max,full_face_laplacian_var_min,full_face_light_intensity_mean_avg,full_face_light_intensity_mean_std,full_face_light_intensity_mean_max,full_face_light_intensity_mean_min,full_face_light_intensity_change_avg,full_face_light_intensity_change_std,full_face_light_intensity_change_max,full_face_light_intensity_change_min,full_face_area_avg,full_face_area_std,full_face_area_max,full_face_area_min
179253_001_speech_1,speech_1,13.258141015728635,1.3224638700565787,16.54264705882353,9.755718954248366,776.5023648045992,171.1799133465778,1242.9498248269897,387.67720681682255,43.988428122413424,2.3293143585968252,48.543096872616324,37.112721417069245,-0.004478829925054208,2.315006061859972,9.790286101727744,-5.966323417238755,1321.9,60.647267137406565,1491,1173,13.060911601190323,1.1547175453962255,15.42003367003367,9.779857397504456,723.8307461222678,133.43787257995115,1072.6640294915917,382.91029594466215,44.024052482827734,1.7298622708520135,48.54040404040404,40.44385026737968,0.014593301435406639,1.936513719824908,5.158001584472174,-5.818313291840397,1237.6555555555556,64.02302273947338,1407,1056,3.0236156864927284,0.14932249888120935,3.3436163970156763,2.7054655870445345,22.7238784378964,3.024520673774563,30.1244713733331,16.43532807545699,160.31964582913847,0.8684444190385834,162.3547902869757,158.7296054224159,0.016244629904477708,0.559901087683771,1.141183867712897,-1.3741317477195878,11854.611111111111,184.7528378973138,12393,11325,4.198954251716652,0.4739453980837561,5.163616071428572,3.1910797213622293,48.86491448041561,14.35186265064354,83.58151494920521,24.992769259011755,79.00246395992167,5.6700383246343415,90.08062953995157,69.74942112151415,-0.2109393528188003,2.3543547448033393,4.529960288298994,-8.270893744821876,9483.388888888889,722.7363529186921,11050,7809,3.341929285939567,0.11103096491621482,3.6331822369633313,3.1366258908940665,63.55825437167052,5.566765149400768,79.83071866133234,53.54475592721737,114.9067291893303,1.5503301306814146,118.4058525026267,111.55909700176367,-0.022642754418878516,0.5593333083916683,1.8058271670190322,-1.574982757139253,137302.3111111111,2148.0350186736223,141750,133266,3.4837585422136916,0.12214472210654044,3.8163945936457786,3.2333248025520924,60.30739703236429,5.215972124985176,75.70077384859586,51.79264598279682,107.51903025653415,1.110790192453124,109.89203001299775,105.1413594569047,-0.01760715053213223,0.3788195280522973,1.0012858207735889,-1.1647292273624714,170905.2,1785.7626149222444,174960,166782
179253_001_speech_2,speech_2,12.173033346689664,1.5358348049764352,15.974178403755868,8.555155010814708,623.57163043094,177.51255955099754,1129.8524377879166,261.3756111050755,42.48822717138999,1.9433956747006071,46.642698295033355,37.91549295774648,5.5726056198797855e-05,2.2213231576260593,5.784803921568631,-5.7334365325077385,1284.888888888889,57.12325417280502,1420,1136,11.560053510359893,1.1406899926125054,14.608585858585858,9.22192513368984,545.8630169537848,113.95993534826019,845.1226086623815,307.23335890130767,40.926616866334236,1.9612391615941571,44.708133971291865,35.01988636363637,0.0013799343547660214,1.7948367443460347,4.961535684580198,-4.546448628071758,1184.888888888889,58.91594554279001,1292,1056,3.0810464959931423,0.14575662709360293,3.4209401709401708,2.6649166666666666,24.183618620345644,3.1700543420066447,31.92751920908295,15.92782632638889,160.48522766659755,0.6177318386123698,162.010927551196,158.90584925953505,0.014962202289471963,0.5203378217329592,1.366758884390464,-1.4053174071316334,11843.766666666666,153.25722300920887,12160,11473,4.258047264197746,0.43447902357072654,5.49092666165575,3.3057074340527577,50.98592051907225,14.978138155089997,98.11516322412157,23.822298940902762,81.2223829500703,5.9282599014916615,96.09260094743966,71.29489754921656,0.09963527678240607,2.3442476160865957,9.2319247077929,-6.219682073889757,9930.522222222222,702.1634821609563,11120,8151,3.440524122370981,0.1275755837144307,3.7343107901843373,3.0974662647143267,65.359897381649,5.942280297676959,78.0170004751259,53.10827099242092,115.96902870491795,1.4097286485234066,119.02985808060436,112.19423859498822,0.02651278770735404,0.6041882846257608,2.0509527314107174,-1.481492196905009,137487.36666666667,1463.7603602143458,140415,133980,3.606215093984,0.13985977428228094,3.91604213800905,3.2037528551189753,63.48797933468179,5.822142014785214,76.03759298248296,50.09208774560886,107.97732074990941,1.167740631776436,110.5455020237629,105.16589223118937,0.017178407356545557,0.4622202262155189,1.6232665084849316,-1.0905347320240963,170510.8111111111,1449.2979539852106,173400,167670
179253_002_speech_1,speech_1,5.279476743348807,0.6713969986768843,6.2682926829268295,2.5752321981424147,62.12973000705705,14.853115183612958,90.9778386464857,13.11429190349759,38.544657486876154,2.9052742632649244,41.23403019744483,27.401587301587302,-0.04681822028623025,1.2824378528737517,2.9556722689075627,-5.881052420968384,1754.611111111111,178.4987139628519,2016,1176,6.868510660585256,1.2017880268813774,8.54421768707483,3.9183333333333334,122.25110920481826,39.54236254344233,179.72986289659576,28.303103027343752,37.747385387097076,1.6574937798556828,40.42418546365915,32.51503164556962,-0.009190645955351882,1.2243929938470632,2.5925458668315784,-5.271565137130807,1567.8777777777777,128.67866325474756,1771,1185,3.0790544160850337,0.15462816351973668,3.466190596562184,2.641237375341422,27.12135371911216,3.3244863224775973,35.9030832582634,18.28075015632234,158.13692827603887,0.5550842552494094,159.16311369509043,156.63477203647417,0.00014646296984229443,0.5736129369760014,1.3625756840494319,-1.617686504485789,15850.755555555555,295.8217771652275,16530,15308,3.395123044958329,0.3968419201810281,4.557410714285714,2.589634601043997,27.754868884472362,8.257193817424529,52.673872492916516,15.102305262636927,77.05746401378357,6.654927301872085,92.69163035584604,65.86161365625912,0.24213669158977352,2.628473527451791,9.587309130152121,-7.542311093743578,12943.833333333334,1070.6625298426152,15200,10787,3.3133041325421675,0.1078047194756961,3.6520794605831948,3.1126610404758512,53.31656194550253,3.736299761280286,63.627746169201444,46.666113893296746,110.41215451576691,1.3015240430328665,114.84699686392146,107.66401792991034,0.033327348963095305,0.6344650742621283,2.1125522249172377,-1.1465826235948526,182892.92222222223,2999.2132122873577,189932,176016,3.4745792675177047,0.1197029196676278,3.8652950310559007,3.290116480431652,54.90807166246199,3.808576420409911,65.49186707555097,48.58150545166848,104.20967412643097,1.1038931433152206,107.23964295066023,102.05753717518424,0.03245332186859476,0.46740737251038844,1.6373597475686381,-1.1509087887110354,218850.36666666667,2168.9961197327507,224968,213864
179253_006_speech_1,speech_1,9.014550757440421,0.5147915254318749,10.385509227614492,7.9328254847645425,266.6377394271106,31.373229018500304,346.4076208504801,203.3105604528875,40.036824659362885,1.3385594095404034,43.32282003710575,37.04824561403509,-0.01059685031291677,1.3620640407786075,3.63391053391053,-4.690889665889664,1459.8444444444444,69.02904633885605,1617,1350,10.015457098108637,0.5418252721678932,11.37719298245614,8.464788732394366,332.2788100904355,38.413568722647035,423.8556201053316,233.92955383583148,39.71227428790146,1.2222235455277124,43.67986111111111,37.353595255745,-0.010913133119705916,1.2559420461056314,3.015768588137007,-3.2331953202387,1371.3666666666666,52.56231187089742,1533,1260,3.017255439616411,0.1426343869108675,3.44318597004019,2.7488908606921028,24.225107616815627,3.1014796152432447,34.783900678856185,18.973001436083727,159.83930464001008,0.6726209012677987,161.77790178571428,158.3704099821747,-0.003055372589153017,0.656630338679702,1.488071237601332,-1.2498817576125987,13758.633333333333,159.63606432666734,14181,13366,3.955972955948925,0.4207342811629407,4.898282941396043,3.052134520884521,46.88788366530856,13.72179092957262,81.32246050287299,19.556099978106946,78.18422958775264,5.2035767346218575,92.64752791068581,70.4119035327089,-0.17465578900245127,2.1273839873488396,6.559086981835421,-8.403500608994307,11755.477777777778,1096.2117324777967,13559,9174,3.476152602862524,0.13276531377750106,3.8720511402052984,3.22528616024974,62.50974512980529,4.876393078550129,78.25541920434411,52.32630700212111,114.03227230168216,1.2426949713914746,116.51820228698644,111.37917039022938,0.0051051259746156714,0.5667603638276867,1.3104788087435963,-1.7708877408174857,160820.96666666667,2267.989861113219,166170,155295,3.669125020889,0.14774461477865117,4.1273241590214065,3.4058904200378284,63.63446497625704,5.343107611821142,83.42911824645324,53.6228828606072,106.60901499161618,1.0050730233186271,108.74234091474024,104.45351610873139,0.0022133362140583776,0.3856334658903107,1.0716899708109935,-1.0440419585286946,195868.5888888889,1913.3114590157554,200074,191828
179253_007_speech_1,speech_1,10.024393170808736,1.5776545200184804,14.458219178082192,7.65892002734108,397.7713688058366,184.60336765078733,936.6825647401013,160.03866903323677,40.22818117146279,2.528368176185935,48.382909328114806,34.507407407407406,-0.01357185097575401,2.1487229893449005,6.642318634423901,-7.398399715504979,1471.5056179775281,71.27413843035049,1617,1296,11.153646823408506,1.2734116776102766,14.564285714285715,9.031875463306152,461.448668305375,132.90215559050586,833.6048193792753,255.8035026906788,40.515664703421976,1.6027434583003648,45.30902255639098,37.05966386554622,-0.017394610120807674,1.3655086599855635,2.6889431128682446,-4.402844066688459,1357.4719101123596,59.22570270653391,1512,1190,3.046620311890661,0.14463478599177704,3.496485386607473,2.75903342366757,23.932748439063314,2.8649681025563103,31.90159734212277,16.57448473421216,160.43085629410652,0.6757237308226461,162.3622713414634,158.99353667392884,0.004577598122847476,0.6079096284114393,1.53575053430842,-1.389574811897205,13503.8202247191,180.87976680894417,13932,13114,4.053057306368128,0.6254896108979433,5.55541601255887,3.0753349093774625,49.30355473459316,23.66416827068694,110.16732929326784,18.097855717879934,80.56745875611003,7.614712120755943,94.45252503025635,67.51952742870043,0.016468272479933033,2.220399668186447,5.329725578387283,-10.006534543349616,10848.0,1145.2367460684513,13800,8960,3.4011851147482814,0.13148843049664535,3.8315701525552095,3.0888683342189336,58.63348286267551,5.7146833638700105,75.17746787992046,44.459406324287556,114.07908008426699,1.46477964066396,116.93474875250294,110.86102328600796,0.011844315729880438,0.5559037314950572,1.8140929945672326,-1.82096487275048,157546.1011235955,3436.4324922437695,166752,152216,3.5833212124714744,0.13826617516079676,3.9833637754850177,3.2909878336280207,58.976230113502,5.433477357677262,74.09010655589375,47.02975981003214,106.54519003492454,1.1599874319225336,109.30629813995411,104.25564989880041,0.01566291006866286,0.37192664503828987,1.4478290118862986,-0.8603197355329115,193002.34831460673,3220.352451423473,202570,187832
179253_007_speech_2,speech_2,9.511786901813592,0.700331705581181,11.0,7.959868421052631,312.34382247607294,64.2631133417068,454.20693320032615,189.01664430401664,40.43790431850329,1.3408596777846753,43.258179231863444,36.79093567251462,0.007606281621657122,1.3237048485567489,3.1340530814215057,-2.7532051282051313,1410.0,58.875060316510314,1560,1275,10.175106338220992,0.7081150995275006,12.05868544600939,7.615037593984963,319.6777449441944,45.8311017309712,461.971914866,171.13923907513143,40.56357768337634,1.1086890362661026,42.57642857142857,38.24907338769459,-0.004476411133136035,1.3715840084693631,3.095563909774434,-3.7801322751322743,1348.5168539325844,58.02215728016609,1491,1224,2.9840694869988496,0.15462061602937172,3.305877976190476,2.626543209876543,22.87910836954797,3.0380168267584726,29.513607995504568,16.193584362312723,159.80295870677753,0.7298012819870807,161.1316265060241,157.7781649245064,-0.017140589387254115,0.6377478110523392,1.6783017037475076,-1.2470467770341713,13397.32584269663,196.70679468326935,13855,12880,4.3047360170231235,0.43321821548996176,5.451388888888889,3.3311790050920487,60.4982847937898,20.102822711557824,120.89757604870675,24.001405993946737,82.53161687110418,4.815683813820466,92.20218120805369,74.45342261904761,0.03771635601830254,1.9991908588955511,9.636885995581636,-3.919414027026349,11267.91011235955,1077.1428710044313,13440,9009,3.5304035300041505,0.11590525374872587,3.8191921485518217,3.307430933272476,66.7394564848058,4.443162256129491,77.84927346924306,58.5954487566982,114.10675065178808,1.4025865402796498,116.597849323055,111.27265065585198,0.008237506835323377,0.6641189467169664,1.9886107418564904,-2.058261167781893,158312.70786516854,2224.5994593626347,163674,153224,3.690112972969088,0.1225696909937394,3.9960194099177415,3.4469948687209007,66.28014801803589,4.573628250051907,78.08538638105195,58.25975707048824,106.78706649655811,1.1095663692092317,108.56067653276956,104.12720413436692,0.006653094065838145,0.45547548914294184,1.6281908021247204,-1.0431272819844537,192514.83146067415,2095.798878036916,197829,187464
179253_008_speech_1,speech_1,9.038375508689219,1.2570814595254616,11.524642289348172,4.8198636806231745,276.8034109536912,77.50545347087922,434.8947941498764,50.87751830090952,37.97201504985571,1.783797932125702,42.264,32.237585199610514,-0.0036018376024531543,1.6376695513027177,3.9403698979591866,-3.5503777089783313,1329.7888888888888,101.81416144457349,1540,1027,9.356916359640145,0.931750041115796,10.61344537815126,6.064814814814815,295.81654322180873,57.63735601030489,399.88549122112175,108.21814471879287,36.737674433800755,1.6856565432530723,40.07824726134585,31.314814814814813,0.004869927819025893,1.6830294527725664,4.174540517961574,-4.855588235294114,1245.8777777777777,87.19806045902186,1400,988,2.98287996382557,0.1528425823014549,3.2920731707317072,2.5526785714285714,23.258702031669788,3.302226622656668,31.971366359763323,14.472860840950963,159.61287692695606,0.5039705910267704,160.6563262195122,158.55798319327732,0.006122549019607959,0.446320654464344,1.0441431918679314,-1.0673866101430463,13397.722222222223,153.69355383160436,13770,13114,4.024717941848861,0.44068037208265326,5.160539215686274,3.10327842377261,47.16950105309063,14.048820923478859,78.90216353085351,21.616218449067816,77.61317991472828,4.884149876709885,88.06829810901002,63.821239076154804,0.014976253034337599,1.8780719552718195,6.968572523891666,-5.145508997872852,11348.377777777778,1326.3709513647452,13632,8804,3.4637584767293985,0.11366649288673733,3.7807503875968993,3.1830523771152297,60.765335902965006,3.996138737159495,71.58588520978307,52.89876594964551,113.40464518268536,1.5078463727243043,116.13339956236892,110.18657592839836,-0.018159351981297474,0.6542294056776841,1.6595720904699789,-1.7512538173286885,157760.16666666666,2735.6495983073382,162918,152866,3.625606136213698,0.12259003429451523,3.9357036043933378,3.2781429701925613,61.18620739675328,4.194005355024723,71.9871290588082,50.83758303847686,106.34174851409638,1.1298663078489386,108.31554269328802,104.04059514681808,-0.01561608052106891,0.4444847642799438,1.1158572493303751,-1.3421191836455932,191304.66666666666,2119.621775673696,195624,187880
179253_010_speech_1,speech_1,9.21857124934332,1.467448078573952,11.549707602339181,4.1575,312.74334868094564,93.2004103258216,554.1775669223007,56.60698650997796,39.79811285803925,2.409942104413626,44.977777777777774,30.752820512820513,0.05828366578546825,1.871737051548167,5.381909923593852,-5.336478944698122,1335.2444444444445,79.25542707977797,1500,975,10.532846021354862,1.3684476296218777,12.245112781954887,5.127604166666667,455.3249523980519,125.93506589001983,646.1020153943931,72.62691620249808,38.348555950279334,1.8328731043199262,41.26167531504819,31.506849315068493,0.019488297821631147,1.5433203089146201,3.5339227865059044,-4.274885844748859,1257.0111111111112,68.63148529670954,1400,1022,3.0175385103171815,0.15714323390087,3.394952145723989,2.6825285200812625,22.76513206584348,3.4136220695710318,35.394443998520536,16.215858765291433,160.2360008802836,0.5511682305095087,161.57403424930305,158.80387372273907,0.005797884052365198,0.5480320216424333,1.2128853350682505,-1.266782592183091,12774.733333333334,149.4484842285202,13114,12480,4.296453357806426,0.5400052455930798,5.739327582393276,3.2522522522522523,55.03247550350534,19.870270713612918,124.87756080266576,24.84804344224212,82.95370144896631,6.040845144390856,93.05402134448234,68.65998389694042,-0.09462498071639137,2.542415656551009,5.426131717525465,-8.951063674118274,10270.544444444444,847.2508372073553,12420,8880,3.245566719212713,0.1253494187389613,3.5548303311285014,2.9424651034046425,55.773411925337705,3.9605273640032443,66.70368284468925,45.00430676669201,115.35095221180377,1.5246054085980847,118.2887919129426,111.99789506308353,0.03251024042967619,0.6402243310813425,1.285051459526315,-1.8787022888285634,148703.42222222223,2227.08001994337,154874,142879,3.4535061632992154,0.13885541420515515,3.7911704480301416,3.0658440934215987,56.12814459278295,4.28181098673158,64.54167368487168,44.26287371347953,107.74030253802974,1.1490509022318875,109.98620708270352,105.39234708483094,0.01612418490150639,0.4340588040815336,1.1846270314724592,-1.24948292017622,183714.6222222222,1774.5520059926487,189478,180158
179253_012_speech_1,speech_1,7.161088945797917,0.6616823029970298,8.784005468215994,5.497222222222222,126.22538752147508,22.470918355682183,180.00370445586452,70.8288888888889,39.65843008658918,1.3722419923334335,43.1019536019536,36.48961218836565,-0.058657086795937216,1.3497320894978566,2.447890295358654,-3.314102564102569,1567.3333333333333,102.51259171767222,1760,1326,8.04794786644799,0.6155919740619993,9.252698412698413,6.746963562753036,173.81509865702512,33.916541468359526,249.35531929761748,118.34396245726951,38.51129434243583,1.2641254994878934,41.06086956521739,35.834992887624466,-0.035661789609158015,0.9800587019942192,4.815538399270459,-2.337859649122805,1533.2888888888888,87.08503456933673,1725,1332,3.0043359191287475,0.146019600700935,3.46521164021164,2.7101190476190475,24.538261709402512,2.962596316453196,33.74238781109151,18.243128783464318,164.82521182153687,0.9316606372591912,166.83119834710743,162.7978079612695,-0.006130157353802209,0.5915432034805653,1.244610489575365,-1.203243295669182,14719.844444444445,216.37944777225772,15197,14110,4.452310120953865,0.7240296411604479,5.713039309683605,2.9181231302157142,62.96520689592538,26.72640391704105,111.19919885142205,17.54043707381054,87.59533003180111,8.410532620513061,102.30668498168498,67.3795556846232,0.23328513366079084,2.88580224400784,11.519500986479116,-6.537345127771076,11610.3,960.2826181607022,14208,10184,3.5987075441567677,0.11531827218301832,3.9538136863712894,3.334763623660922,74.82096690058799,4.558537787796058,84.22655825850403,62.71424652065798,118.474177207183,1.2392886020822662,120.37919407505561,115.65300217699105,0.020768699774697866,0.6253641546444614,1.9504428370950393,-1.7472589729225518,170341.8777777778,3192.3800174642615,181944,164980,3.8004607247334663,0.1251613018086162,4.132459164216677,3.5114842239305757,73.77286530427018,4.802179405657024,83.60061048425054,62.6699113543221,110.20691745019465,0.9658488260955904,111.7591398958387,107.86668971238939,0.01926358559217284,0.4630231645693099,1.2614557777616824,-1.271923163141679,212976.7,2614.1812366785603,221160,209234
179253_019_speech_1,speech_1,6.085085371234297,0.42467653913267034,7.060416666666667,4.782025486250839,79.35427795725437,11.846297125911322,108.43459442515432,49.988411578345556,38.56129879684032,1.4413655608673561,41.857638888888886,35.33410493827161,-0.021756332959939336,1.1891364457520361,2.893823099415208,-3.0687134502923996,1359.056179775281,103.85483307685713,1533,1136,7.992979275660859,0.568732928210651,9.05072463768116,6.739893211289092,160.58065409050823,26.733598471629552,227.24929403253287,113.53151907726733,36.61091724685147,1.0749248830307319,39.09202898550725,34.134948096885815,-0.03223650810695808,1.102715757800265,2.5006832939125303,-2.5472636815920353,1243.5168539325844,62.08500630725266,1400,1072,3.300502660111306,0.1582637283734044,3.6329493087557605,2.9799196787148596,30.46130324622338,4.021877258491393,39.499233724408754,22.397318305459983,157.38351717373615,1.1852662279767567,160.03606478895716,154.92424931756142,-0.04176969715038134,0.6886278275429903,1.7211166205068764,-1.6611252500181024,12767.876404494382,172.2138483123869,13188,12393,4.1990659922473705,0.5395676086033755,5.6496956281128945,3.1902113459399333,48.355553977713505,17.25401294316377,101.03825650591637,22.922353523442805,81.55755624484205,4.835066190434435,91.08765910348644,73.23994565217392,-0.06015484076817134,1.5063023270405684,4.017279821627653,-5.023733699790029,10095.865168539325,880.2452291447387,11583,8468,3.582281793522254,0.09979191242427138,3.8145282194359473,3.3993406209712074,76.30562769044978,4.6106862846027035,89.84510611936331,68.67431413889379,114.02506256307962,1.5840682312813026,117.80540760260148,111.38838818274596,-0.04501788079464575,0.4545357292371269,1.0982825885339764,-1.362318521522326,147892.75280898876,1715.511488004372,151139,142688,3.707932287382371,0.10283503999672712,3.923324532732173,3.517683465959328,72.60204234756681,4.079125881022757,83.92964981047817,65.93020780754514,106.40670573652027,1.2153912470294983,108.90711175616836,104.76250502957112,-0.028012625403710852,0.2573762435081597,0.5384064170927729,-0.7375037405543168,180318.0,1645.5493625368565,183120,176384
